Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,141.750000,142.960007,141.399994,142.380005,139.890137,166200
2020-01-22,141.929993,142.229996,141.220001,141.559998,139.084457,170800
2020-01-23,142.449997,143.100006,142.100006,143.059998,140.558228,169400
2020-01-24,143.490005,143.759995,142.240005,142.759995,140.263474,204900
2020-01-27,141.440002,141.539993,140.679993,141.059998,138.593201,186800
2020-01-28,141.669998,142.589996,141.669998,142.580002,140.086624,234500
2020-01-29,142.580002,142.580002,141.550003,141.550003,139.074646,116900
2020-01-30,140.500000,141.190002,139.729996,141.080002,138.612869,111400
2020-01-31,140.050003,140.600006,138.509995,138.839996,136.412033,281600
2020-02-03,138.679993,139.880005,138.550003,138.919998,136.490631,160600
2020-02-04,140.740005,141.630005,140.529999,140.949997,138.485123,208100
2020-02-05,142.199997,142.199997,141.460007,141.720001,139.241669,104100
2020-02-06,144.000000,144.389999,143.059998,143.850006,141.334427,204600
2020-02-07,142.990005,143.160004,142.259995,142.339996,139.850815,98000
2020-02-10,140.929993,141.899994,140.710007,141.279999,138.809357,135800
2020-02-11,141.990005,142.339996,141.699997,142.110001,139.624847,151200
2020-02-12,142.000000,142.660004,141.949997,142.429993,139.939240,99100
2020-02-13,141.000000,141.460007,140.779999,141.100006,138.632523,135900
2020-02-14,140.600006,140.990005,139.759995,140.149994,137.699112,139200
2020-02-18,139.059998,140.000000,138.580002,139.380005,136.942596,275800
2020-02-19,137.630005,138.679993,137.520004,137.839996,135.429520,315200
2020-02-20,138.630005,139.410004,138.240005,139.110001,136.677307,241000
2020-02-21,139.300003,139.809998,138.639999,139.039993,136.608521,150600
2020-02-24,135.119995,135.309998,134.009995,134.490005,132.138107,398800
2020-02-25,136.259995,136.259995,133.300003,134.029999,131.686142,317700
2020-02-26,135.199997,136.279999,134.619995,135.130005,132.766922,316800
2020-02-27,133.160004,133.729996,131.229996,131.399994,129.102127,304700
2020-02-28,128.850006,130.800003,128.000000,130.750000,128.463501,367900
