Trade Date,Index Value,Net Change,High,Low
29/10/2019,281.46075056809,2.68078654787,281.99916430105,280.31436228044
28/10/2019,278.77996402022,1.58231638961,279.79968418332,277.90882449100
25/10/2019,277.19764763061,2.06512925126,277.20850622681,274.57224530184
24/10/2019,275.13251837935,2.83782310726,277.24795476020,273.30829503477
23/10/2019,272.29469527209,0.62545940196,272.41050571486,270.75479649729
22/10/2019,271.66923587013,1.91591427999,272.21449754635,270.24716774883
21/10/2019,269.75332159014,-0.22703236694,271.52849939898,269.49017771763
18/10/2019,269.98035395708,-1.48382752932,272.00084778970,268.79976821862
17/10/2019,271.46418148640,1.04532663619,272.66606317570,270.02561471022
16/10/2019,270.41885485021,2.73908298519,271.24808603424,268.45522560910
15/10/2019,267.67977186502,4.29867183880,267.89013621110,264.84432165240
14/10/2019,263.38110002622,0.16346365918,263.50287038491,261.63540447240
11/10/2019,263.21763636704,5.98878969469,264.08022496659,258.95781053358
10/10/2019,257.22884667235,2.16379985010,257.73943104436,254.98803553909
9/10/2019,255.06504682225,0.69835528472,255.42318533338,253.33021893326
8/10/2019,254.36669153753,-0.50285271861,256.21360366369,253.93142496736
7/10/2019,254.86954425614,-0.04700215260,254.99087178387,253.67785602522
4/10/2019,254.91654640874,-0.80587463015,255.81506244305,253.91443970553
3/10/2019,255.72242103889,-1.72979393552,255.72924403118,254.05504856847
2/10/2019,257.45221497441,-4.88869203177,261.05419887153,256.92245201632
1/10/2019,262.34090700618,-0.86725557034,264.81120428891,262.30651714925
30/9/2019,263.20816257652,-0.86972858748,263.85783246285,262.66458308297
27/9/2019,264.07789116400,-0.79002488528,264.61243063312,263.03218571779
26/9/2019,264.86791604928,1.31989597625,265.16669490184,263.64502323917
25/9/2019,263.54802007303,-1.28148273193,264.20468456268,261.91494327093
24/9/2019,264.82950280496,-2.45949197595,267.61126988850,264.82950280496
23/9/2019,267.28899478091,-1.25894497157,269.22707470813,266.36291910690
20/9/2019,268.54793975248,-0.08585874702,269.53406715192,268.39507188712
19/9/2019,268.63379849950,-0.48794340389,269.52866774056,267.91110396745
18/9/2019,269.12174190339,-0.60756733071,269.81465219579,268.36318746992
17/9/2019,269.72930923410,-1.00662210839,270.10708349435,267.91210977355
16/9/2019,270.73593134249,-3.00236400620,273.38444543196,270.44615478938
13/9/2019,273.73829534869,2.78850213173,274.78363918127,271.86277645597
12/9/2019,270.94979321696,0.87950048801,272.32944448564,270.20314526200
11/9/2019,270.07029272895,2.96746441485,270.93264372177,268.70922191894
10/9/2019,267.10282831410,2.72362012624,267.51407767447,265.59301422209
9/9/2019,264.37920818786,3.76287083994,264.82041743554,260.61053426203
6/9/2019,260.61633734792,2.46909027021,261.38136573762,259.83939337691
5/9/2019,258.14724707771,5.10851496038,258.66041976990,254.87497547511
4/9/2019,253.03873211733,1.98679082864,253.38923548859,250.02079272481
3/9/2019,251.05194128869,0.23383303192,251.58879442645,250.40978744828
2/9/2019,250.81810825677,-0.83783813720,251.48947476168,250.43476119104
30/8/2019,251.65594639397,2.95043861284,253.01857453205,249.72306315644
29/8/2019,248.70550778113,0.77201053919,249.08389661321,246.91758100228
28/8/2019,247.93349724194,1.31610838598,248.02560723802,245.94234362598
27/8/2019,246.61738885596,1.74677795477,247.99190087546,246.32702323552
26/8/2019,244.87061090119,-0.42023081662,245.48108384091,243.71015186741
23/8/2019,245.29084171781,-2.42955547441,248.82465689076,245.29084171781
22/8/2019,247.72039719222,0.83144400117,249.01059939762,246.95028329533
